,close_price,starting_price,high_price,low_price,trading_volume
20200317113000,225,227,227,225,10090
20200317112900,227,227,227,227,60
20200317112800,227,224,228,224,7902
20200317112700,225,225,225,225,1
20200317112600,223,223,225,223,4134
20200317112500,223,224,224,223,6613
20200317112400,223,223,225,223,2100
20200317112300,224,226,226,224,19035
20200317112200,227,227,227,227,1000
20200317112100,228,228,228,228,2030
20200317112000,229,228,229,228,2009
20200317111900,228,228,228,228,3281
20200317111700,226,229,229,226,31845
20200317111600,230,233,233,230,216
20200317111500,233,230,233,228,4871
20200317111400,231,233,233,231,20446
20200317111300,233,235,235,233,2364
20200317111200,235,235,235,235,2952
20200317111100,235,235,235,234,18583
20200317111000,235,236,236,235,6726
20200317110900,236,236,236,236,1
20200317110800,237,237,237,237,520
20200317110700,238,238,238,238,1557
20200317110400,239,239,239,239,3
